mwd92968@cndps.com

Справочник атрибутов CSS
Команды CSS можно вставлять в теги DIV, STYLE, либо работать с внешним (внутренним) листом стилей. Команды CSS можно сочетать в произвольном порядке. Ниже перечислены все атрибуты CSS. Для получения сведений по атрибуту надо щелкнуть на его названии.

Атрибут CSS	Функция
background	Атрибут фона
background-attachment	Как ведет себя фон при прокручивании страницы
background-color	Цвет фона
background-image	Фоновый рисунок
background-position	Положение фонового рисунка
background-repeat	Повторение фона
border	Форматирование границ (бордюра) элемента
border-collapse	Слияние границ таблицы
border-color	Цвет границ элемента
border-spacing	Расстояние между границами ячеек таблицы
border-style	Вид рамки элемента
border-width	Ширина линии рамки
bottom	Положение нижней границы элемента
caption-side	Положение заголовка таблицы
clear	Отмена обтекания элемента текстом
color	Цвет
cursor	Курсор
direction	Направление вывода текста
display	Вид отображаемого элемента
empty-cells	Границы и фон пустых ячеек таблицы
float	Стороны смещения и обтекания элемента
font	Шрифт
font-family	Семейство шрифта
font-size	Кегль (размер) шрифта
font-style	Начертание шрифта
font-variant	Малые прописные буквы
font-weight	Насыщенность шрифта
height	Высота
left	Расстояние от левого края
letter-spacing	Межсимвольный интервал
line-height	Межстрочный интервал
list-style	Вид списочного маркера
list-style-image	Адрес файла картинки, используемой в качестве списочного маркера
list-style-position	Положение маркера
list-style-type	Вид маркера
margin	Внешний отступ
max-height	Максимальная высота
max-width	Максимальная ширина
min-height	Минимальная высота
min-width	Минимальная ширина
overflow	Управление выводом содержания блочного элемента
padding	Внутренний отступ
position	Положение элемента
right	Расстояние от правого края
table-layout	Подгонка ячеек таблицы по высоте и ширине
text-align	Выравнивание по горизонтали
text-decoration	Оформление текста
text-indent	Красная строка
text-transform	Преобразование текста
top	Расстояние от верхнего края
vertical-align	Выравнивание по вертикали
visibility	Видимость
white-space	Отделение слов друг от друга
width	Ширина
word-spacing	Интервал между словами
z-index	Порядок вывода слоев
